damel,时间,省,流域,河名,库水位(米),站点编号,站名,蓄水量(百万3),入库(米3/秒)
95,2023-04-11 14:00:00,湖北省,长江,雷溪河,80.75,61658400,黄河厂,5,0
58,2023-04-11 14:00:00,湖北省,长江,陆水,50.24,61705000,陆水水库,354,20
170,2023-04-11 14:00:00,湖北省,长江,鲤港,158.83,61706500,阁壁,4,0
207,2023-04-11 14:00:00,湖北省,长江,何家港,190.8,61707500,龙潭,5,0
127,2023-04-11 14:00:00,湖北省,长江,青山河,114.91,61708010,青山,234,0
30,2023-04-11 14:00:00,湖北省,长江,陆马河,26.18,61710900,三湖连江,50,0
110,2023-04-11 08:00:00,湖北省,长江,汀泗河,86.61,61711500,双石水库,9,0
112,2023-04-11 14:00:00,湖北省,长江,淦河,99.31,61712900,南川,54,0
440,2023-04-11 14:00:00,湖北省,长江,易家段河,422.08,61726000,百丈潭,3,0
93,2023-04-11 08:00:00,湖北省,长江,黄水河,84.67,61749000,四门楼水库,13,0
416,2023-04-11 14:00:00,陕西省,长江,汉江,403.52,61800850,石泉,152,180
367,2023-04-11 08:00:00,陕西省,长江,汉江,360.81,61800950,喜河,154,130
338,2023-04-11 14:00:00,陕西省,长江,汉江,318.86,61801250,安康库,1814,156
176,2023-04-11 14:00:00,湖北省,长江,汉江,154.3,61802700,丹江口水库,13759,1290
620,2023-04-11 08:00:00,陕西省,长江,褒河,613.74,61806250,石门,52,18
538,2023-04-11 08:00:00,陕西省,长江,党水河,528.61,61808850,党河,19,2
466,2023-04-11 08:00:00,陕西省,长江,观音河,459.64,61809850,观音河,6,0
515,2023-04-11 14:00:00,陕西省,长江,岚河,497.69,61810550,蔺河口,93,23
332,2023-04-11 08:00:00,湖北省,长江,天惠河,324.04,61901300,土门,7,0
252,2023-04-11 14:00:00,湖北省,长江,堵河,231.78,61902580,黄龙滩,439,300
503,2023-04-11 08:00:00,湖北省,长江,竹溪河,492.95,61902740,竹溪河,10,1
346,2023-04-11 14:00:00,湖北省,长江,霍河,335.8,61905710,霍河,67,0
277,2023-04-11 08:00:00,湖北省,长江,茅塔河,255.9,61906950,茅塔河,1,0
211,2023-04-11 08:00:00,湖北省,长江,浪河,197.52,61908000,浪河店,11,0
149,2023-04-11 14:00:00,湖北省,长江,北河,138.28,61909010,潭口,26,0
154,2023-04-11 14:00:00,湖北省,长江,南河,148.34,61910310,南河,42,0
