时间,水位,W,RWPTN,入库,出库,RSVRTP,HHRZ,HHRZTM,汛限水位,比讯限,ADDVCD站名,DRNA,FRGRD,HNNM,LGTD,LTTD,河流,站点编号,站点位置,站名,STTP,HN_NUM
2023-04-15T00:00:00.000Z,70.52,6.57,4,-,0.10,3,-,,73.5,-2.98,430725,,2,沅水,111.3003,28.77167,沅水,613K2245,常德市桃源县剪市镇,九龙,RR,3
2023-04-15T00:00:00.000Z,465.00,0.85,4,1.60,2.30,2,-,,468.0,-3.00,431026,64.0,2,赣江,113.796694,25.572194,章江,623K0000,郴州市汝城县土桥镇,东坑,RR,8
2023-04-15T00:00:00.000Z,389.50,0.82,6,0.10,0.10,2,-,,392.5,-3.00,431021,7.0,2,湘江,112.606639,25.990167,舂陵水,611K0562,郴州市桂阳县和平镇,大源,RR,1
2023-04-15T00:00:00.000Z,115.60,29.0,6,-,-,2,-,,118.6,-3.00,430626,3.0,3,洞庭湖,113.287139,28.759194,汨罗江,615K0410,岳阳市平江县伍市镇,马头,RR,5
2023-04-15T00:00:00.000Z,247.84,5.816,5,0.69,0.32,3,254.09,2000-08-12T16:00:00.000Z,251.0,-3.16,431002,22.0,2,湘江,112.965,25.707222,郴江,61109720,郴州市北湖区石盖塘街道仙岭水库,仙岭,RR,1
2023-04-15T00:00:00.000Z,100.89,2.928,6,-,-,3,-,,104.2,-3.31,430726,24.0,2,澧水,111.431639,29.376222,龙口桥,614K1038,常德市石门县蒙泉镇,首桥,RR,4
2023-04-15T00:00:00.000Z,47.89,3.945,4,-,-,3,-,,51.2,-3.31,430624,,2,洞庭湖,112.9829,28.76742,范家河,615K0311,岳阳市湘阴县东塘镇,赛美,RR,5
2023-04-15T00:00:00.000Z,281.80,7.39,4,1.76,3.50,3,286.69,2006-07-14T16:00:00.000Z,285.12,-3.32,431024,107.0,2,湘江,112.449556,25.530056,黄狮江,61106460,郴州市嘉禾县袁家镇,泮头,RR,1
2023-04-15T00:00:00.000Z,313.00,19.6,4,11.50,29.40,3,317.8,2013-09-27T16:00:00.000Z,316.5,-3.50,433127,853.0,2,沅水,109.738333,29.070889,猛洞河,61314350,湘西州永顺县勺哈乡,马鞍山,RR,3
2023-04-15T07:09:11.000Z,54.61,,,-,-,3,-,,58.2,-3.59,430703,,2,沅水,111.6076,29.20536,渐水,613K2004,常德市鼎城区蔡家岗镇,五里溪,RR,3
2023-04-15T00:00:00.000Z,43.50,5.153,5,0.63,0.28,3,-,,47.1,-3.60,430722,,2,洞庭湖,111.949889,28.813528,南湖撇洪河,615K0910,常德市汉寿县株木山街道,清水坝,RR,5
