流域,站点编号,行政区,河名,站名,时间,水位(米),流量(米3/秒),警戒水位(米)
长江,61803400,湖北省,汉江,襄阳,2023-04-16 14:00:00,64.78,0,67.0
长江,61803500,湖北省,汉江,宜城,2023-04-16 14:00:00,55.72,0,57.5
长江,61804110,湖北省,汉江,皇庄,2023-04-16 14:00:00,39.31,674,48.0
长江,61804151,湖北省,汉江,大同(二),2023-04-16 14:00:00,37.44,0,46.2
长江,61804210,湖北省,汉江,沙洋(三),2023-04-16 14:00:00,35.76,0,41.8
长江,61804300,湖北省,汉江,泽口,2023-04-16 14:00:00,27.91,0,40.4
长江,61804400,湖北省,汉江,岳口,2023-04-16 14:00:00,26.28,0,38.5
长江,61804600,湖北省,汉江,仙桃(二),2023-04-16 14:00:00,23.08,510,35.1
长江,61804710,湖北省,汉江,汉川,2023-04-16 14:00:00,17.92,0,29.0
长江,61805500,陕西省,玉带河,铁锁关,2023-04-16 14:00:00,734.21,13,0.0
长江,61805700,陕西省,沮水,茶店,2023-04-16 14:00:00,595.92,1,0.0
长江,61805800,陕西省,漾家河,元墩,2023-04-16 14:00:00,582.34,1,0.0
