日期,站名,水位八点,库容八点,水位实时,库容实时,水位控制,库容控制,控制百分比
2023-04-28,黄坛水库,76.19,930,76.58,962,78.80,1150,83.7%
2023-04-28,杨梅岭水库,22.27,542,22.30,545,24.11,833,65.5%
2023-04-28,胡陈港水库,-0.29,4795,-0.29,4795,0.55,5585,85.8%
2023-04-28,车岙港水库,3.50,663,3.50,663,4.52,1020,65.0%
2023-04-28,力洋水库,41.88,872,41.86,871,44.50,1102,79.0%
2023-04-28,仓岙水库,56.54,186,56.58,187,72.83,925,20.2%
2023-04-28,大塘港水库,0.58,2237,0.57,2231,0.85,2420,92.2%
2023-04-28,隔溪张水库,92.43,501,91.47,471,102.93,913,51.6%
2023-04-28,上张水库,28.33,933,28.59,965,35.00,1817,53.1%
2023-04-28,溪口水库,46.98,503,46.96,502,52.55,953,52.7%
2023-04-28,总计（32）,,61604,,61553,,114898,53.6%
2023-04-29,周公宅水库,211.70,5816,211.72,5819,231.13,9570,60.8%
2023-04-29,皎口坝上,58.28,4368,58.19,4340,68.08,7808,55.6%
2023-04-29,亭下水库,67.35,3900,67.39,3912,82.65,10000,39.1%
2023-04-29,横山水库,86.83,2409,86.87,2416,109.67,7650,31.6%
2023-04-29,四明湖水库,13.34,4958,13.33,4949,16.28,7946,62.3%
2023-04-29,白溪水库,141.29,6621,141.48,6661,170.00,14500,45.9%
2023-04-29,溪下水库,33.16,217,33.22,219,55.00,2074,10.6%
2023-04-29,东钱湖水库,3.10,3376,3.10,3376,3.75,4429,76.2%
