流域,站点编号,行政区,河名,站名,时间,水位(米),流量(米3/秒),警戒水位(米)
珠江,80519300,广西壮族自治区,马来河,中里,2023-05-03 14:00:00,108.74,0,112.5
珠江,80604000,广西壮族自治区,白沙江,南义,2023-05-03 14:00:00,91.28,2,96.0
珠江,80606500,广西壮族自治区,蒙江,大化,2023-05-03 14:00:00,107.64,5,111.0
珠江,80607500,广西壮族自治区,蒙江,太平,2023-05-03 14:00:00,34.17,30,37.2
珠江,80609500,广西壮族自治区,大同江,水晏,2023-05-03 14:00:00,80.26,14,84.5
珠江,80610700,广西壮族自治区,北流河,北流,2023-05-03 14:00:00,88.41,20,91.1
珠江,80612000,广西壮族自治区,北流河,容县,2023-05-03 14:00:00,73.47,1,74.2
珠江,80613000,广西壮族自治区,北流河,象棋,2023-05-03 14:00:00,36.37,39,38.7
珠江,80614000,广西壮族自治区,北流河,金鸡（二）,2023-05-03 14:00:00,26.44,14,33.0
珠江,80616000,广西壮族自治区,杨梅河,杨梅,2023-05-03 14:00:00,93.05,1,97.4
珠江,80617000,广西壮族自治区,黄华江,南渡,2023-05-03 14:00:00,78.86,23,84.6
珠江,80618000,广西壮族自治区,义昌河,岑溪,2023-05-03 14:00:00,90.26,8,94.6
珠江,80700200,广西壮族自治区,郁江,南宁（三）,2023-05-03 14:00:00,66.91,408,73.0
珠江,80701600,广西壮族自治区,郁江,贵港,2023-05-03 14:00:00,31.06,273,41.2
珠江,80702400,广西壮族自治区,左江,崇左,2023-05-03 14:00:00,86.25,95,101.2
珠江,80702600,广西壮族自治区,左江,扶绥,2023-05-03 14:00:00,75.53,133,81.8
珠江,80704000,广西壮族自治区,明江,宁明,2023-05-03 14:00:00,109.52,44,117.9
珠江,80705100,广西壮族自治区,黑水河,新和,2023-05-03 14:00:00,108.48,23,121.2
珠江,80705600,广西壮族自治区,向水河,大新,2023-05-03 14:00:00,240.62,3,246.1
珠江,80707100,广西壮族自治区,驮娘江,八达,2023-05-03 14:00:00,688.28,0,689.8
珠江,80708100,广西壮族自治区,右江,百色(三),2023-05-03 14:00:00,115.25,165,116.2
珠江,80708600,广西壮族自治区,右江,隆安,2023-05-03 14:00:00,75.59,157,85.0
珠江,80710300,云南省,普厅河,富宁,2023-05-03 14:00:00,679.11,2,681.6
珠江,80712400,广西壮族自治区,鉴河,荣华,2023-05-03 14:00:00,222.06,0,226.3
珠江,80718400,广西壮族自治区,武思江,大江口,2023-05-03 14:00:00,104.98,10,108.5
珠江,80801000,广西壮族自治区,大溶江,大溶江,2023-05-03 14:00:00,183.91,29,187.2
珠江,80802300,广西壮族自治区,桂江,桂林,2023-05-03 14:00:00,142.05,126,146.0
珠江,80804000,广西壮族自治区,桂江,阳朔,2023-05-03 14:00:00,104.52,238,109.5
