LGTD,LTTD,站点编号,时间,站名,zr,ymdh,dyrn,z,保证水位,dwz,河名,avq,hnnm,w,detaz,unitname,damel,iymdh,fymdh,q,警戒水位,sttp,obhtztm,frgrd,obhtz
118.083333,24.916667,71310570,2023-04-27 22,村内水库,521.80,,,521.80,528.48,,浙闽台河流,,晋江,,,,529.98,,,,527.48,水库,,,
118.202222,24.930833,71310580,2023-04-27 22,坂头水库,304.75,,,304.75,310.02,,浙闽台河流,,晋江,,,,312.88,,,,310.58,水库,,,
118.283300,25.316670,71310700,2023-04-27 22,永春,114.45,,,114.45,116.35,,浙闽台河流,,晋江,,,,117.28,,,,115.20,河道,1945-10-02 00:00:00,,118.630
118.413556,25.162722,71310800,2023-04-27 22,山美水库,88.37,,,88.37,98.78,,浙闽台河流,,晋江,,,,105.48,,,,96.48,水库,,,
118.500056,25.093278,71310900,2023-04-27 22,洪濑,19.04,,,19.04,,,浙闽台河流,,晋江,,,,22.86,,,,20.50,河道,1956-09-19 15:00:00,,22.830
118.295833,25.390833,71310960,2023-04-27 22,红五一水库,296.14,,,296.14,304.23,,浙闽台河流,,晋江,,,,306.62,,,,301.52,水库,,,
118.558056,25.231111,71311260,2023-04-27 22,笋塔水库,113.91,,,113.91,126.76,,浙闽台河流,,晋江,,,,128.82,,,,126.62,水库,,,
117.226317,25.403508,71400190,2023-04-27 22,白沙水库,258.25,,,258.25,266.71,,浙闽台河流,,九龙江,,,,268.90,,,,265.00,水库,,,
117.417000,25.291000,71400300,2023-04-27 22,漳平,155.01,,,155.01,162.30,,浙闽台河流,,九龙江,,,,,,,110.000,158.00,河道,1960-06-10 00:00:00,,164.360
117.533000,25.000000,71400390,2023-04-27 22,华安电站,92.97,,,92.97,96.36,,浙闽台河流,,九龙江,,,,104.40,,,,94.00,水库,,,
117.665000,24.636000,71400600,2023-04-27 22,浦南,4.09,,,4.09,11.50,,浙闽台河流,,九龙江,,,,16.06,,,,9.00,河道,1960-06-10 00:00:00,,16.030
117.816000,24.450000,71400700,2023-04-27 22,石码,-1.00,,,-1.00,4.60,,浙闽台河流,,九龙江,,,,4.79,,,,4.20,潮位,1996-08-01 00:00:00,,4.770
117.038000,25.107000,71410300,2023-04-27 22,东兴,316.64,,,316.64,320.80,,浙闽台河流,,九龙江,,,,321.53,,,,319.00,河道,1967-05-24 00:00:00,,321.610
116.923000,25.004000,71410360,2023-04-27 22,黄岗水库,454.47,,,454.47,457.74,,浙闽台河流,,九龙江,,,,462.00,,,,457.00,水库,,,
